Library Plate,Source well,Library Name,SMILES,Modified SMILES,Code,Volume (ul),Concentration (mM),old_ID,covalent
1181202-Y4-02,H06,shipment 6 - moonshot,CC(C)(C)NC(=O)C(N(C1COC2(CCC2)C1)C(=O)C=C)C=3C=CC=NC3,CCC(N(C(C(NC(C)(C)C)=O)c1cnccc1)C1COC2(CCC2)C1)=O,LON-WEI-adc59df6-89,4,100,Z4459610266,
1181202-Y4-02,AF05,shipment 6 - moonshot,"CC(C)(C)NC(=O)C(N([C@@H]1C[C@@H]1C=2C=CC=CC2)C(=O)C=C)C=3C=CC=NC3 |&1:9,11,r|",CCC(N(C(C(NC(C)(C)C)=O)c1cnccc1)[C@H](C1)[C@H]1c1ccccc1)=O,LON-WEI-adc59df6-62,4,100,Z4459611406,
1181202-Y4-02,I06,shipment 6 - moonshot,CN1C=CC=2C=C(C=CC12)N(C(C(=O)NC(C)(C)C)C=3C=CC=NC3)C(=O)C=C,CCC(N(C(C(NC(C)(C)C)=O)c1cnccc1)c(cc1)cc2c1n(C)cc2)=O,LON-WEI-adc59df6-104,4,100,Z4459610285,
1181202-Y4-02,G06,shipment 6 - moonshot,CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)N2CCC2)C=3C=CC=NC3,CCC(N(C(C(NC(C)(C)C)=O)c1cnccc1)c(cc1)ccc1N1CCC1)=O,LON-WEI-adc59df6-95,4,100,Z4459610274,
1181202-Y4-02,E06,shipment 6 - moonshot,CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=CC(OCC#C)=CC1)C=2C=CC=NC2,CCC(N(C(C(NC(C)(C)C)=O)c1cnccc1)c(cc1)ccc1OCC#C)=O,LON-WEI-adc59df6-87,4,100,Z4459610264,
1181202-Y4-02,F06,shipment 6 - moonshot,CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=CC=C(C#C)C1)C=2C=CC=NC2,CCC(N(C(C(NC(C)(C)C)=O)c1cnccc1)c1cc(C#C)ccc1)=O,LON-WEI-adc59df6-103,4,100,Z4459610284,
1181202-Y4-02,A06,shipment 6 - moonshot,CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=CC=2C=CNC2C1)C=3C=CC=NC3,CCC(N(C(C(NC(C)(C)C)=O)c1cnccc1)c1cc([nH]cc2)c2cc1)=O,LON-WEI-adc59df6-68,4,100,Z4459610240,
1181202-Y4-02,AC05,shipment 6 - moonshot,CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C2CCOC2)C=3C=CC=NC3,CCC(N(C(C(NC(C)(C)C)=O)c1cnccc1)c1ccc(C2COCC2)cc1)=O,LON-WEI-adc59df6-83,4,100,Z4459610258,
1181202-Y4-02,AA05,shipment 6 - moonshot,CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=CC(CCC#N)=CC1)C=2C=CC=NC2,CCC(N(C(C(NC(C)(C)C)=O)c1cnccc1)c1ccc(CCC#N)cc1)=O,LON-WEI-adc59df6-78,4,100,Z4459610252,
1181202-Y4-02,K05,shipment 6 - moonshot,C=CC(=O)N1CCN(CC#C)CC1,CCC(N1CCN(CC#C)CC1)=O,TOB-UNK-c2aba166-2,4,100,TOB-UNK-c2a-2,
1181202-Y4-02,J05,shipment 6 - moonshot,C=CC(=O)N1CCN(CC=2C=CC=C3C=CC=CC23)CC1,CCC(N1CCN(Cc2cccc3ccccc23)CC1)=O,JOO-IND-6372a4f3-4,4,100,JOO-IND-637-4,
1181202-Y4-02,F05,shipment 6 - moonshot,C=CC(=O)N1CCCN(CC=2C=CC=CC2)CC1,CCC(N1CCN(Cc2ccccc2)CCC1)=O,ANT-OPE-c0c3e7cc-1,4,100,ANT-OPE-c0c-1,
1181202-Y4-02,J06,shipment 6 - moonshot,OC=1C=CC(=CC1NC(=O)C=C)C(=O)NCC(CC=2C=CC=CC2)C=3C=CC=CN3,CCC(Nc(cc(cc1)C(NCC(Cc2ccccc2)c2ncccc2)=O)c1O)=O,JUA-UNI-bc099708-5,4,100,JUA-UNI-bc0-5,
1181202-Y4-02,Q06,shipment 6 - moonshot,CCN(CC=1C=CC=C(C1)C=2C=CN=CC2)C(=O)CC3=NOC=4C=CC=CC34,CCN(Cc1cc(-c2ccncc2)ccc1)C(Cc1noc2c1cccc2)=O,AAR-POS-8a4e0f60-2,4,100,s_22____5732348____132823,no
1181202-Y4-02,K06,shipment 6 - moonshot,CN(C)C(=O)CC1CN(C(=O)C=2C=NN3CCCC23)C=4C=CC(Cl)=CC14,CN(C)C(CC(C1)c(cc(cc2)Cl)c2N1C(c1c(CCC2)n2nc1)=O)=O,RAI-NOV-2f6a9876-1,4,100,Z2269442666,no
1181202-Y4-02,A05,shipment 6 - moonshot,CN(C)C/C=C/C(=O)NCC1=CNC=2C=CC=CC12,CN(C)CCCC(NCc1c[nH]c2c1cccc2)=O,ANT-OPE-ab37bd51-2,4,100,ANT-OPE-ab3-2,
